checker,decoy_mode,evasion_budget,tau,n,frequency_recall,mean_z_score,groundedness_recall
v1,irrelevant,0,1.5,12,1.0,-2.505,1.0
v1,irrelevant,0,2.0,12,1.0,-2.505,1.0
v1,irrelevant,0,2.5,12,1.0,-2.505,1.0
v1,irrelevant,1,1.5,12,0.0,-1.209,0.0
v1,irrelevant,1,2.0,12,0.0,-1.209,0.0
v1,irrelevant,1,2.5,12,0.0,-1.209,0.0
v1,irrelevant,2,1.5,12,0.0,0.086,0.0
v1,irrelevant,2,2.0,12,0.0,0.086,0.0
v1,irrelevant,2,2.5,12,0.0,0.086,0.0
v1,irrelevant,3,1.5,12,0.0,1.382,0.0
v1,irrelevant,3,2.0,12,0.0,1.382,0.0
v1,irrelevant,3,2.5,12,0.0,1.382,0.0
v1,irrelevant,4,1.5,12,0.0,2.678,0.0
v1,irrelevant,4,2.0,12,0.0,2.678,0.0
v1,irrelevant,4,2.5,12,0.0,2.678,0.0
v1,irrelevant,5,1.5,12,0.0,3.974,0.0
v1,irrelevant,5,2.0,12,0.0,3.974,0.0
v1,irrelevant,5,2.5,12,0.0,3.974,0.0
v1,topic_relevant,0,1.5,12,1.0,-2.505,1.0
v1,topic_relevant,0,2.0,12,1.0,-2.505,1.0
v1,topic_relevant,0,2.5,12,1.0,-2.505,1.0
v1,topic_relevant,1,1.5,12,0.0,-1.209,0.0
v1,topic_relevant,1,2.0,12,0.0,-1.209,0.0
v1,topic_relevant,1,2.5,12,0.0,-1.209,0.0
v1,topic_relevant,2,1.5,12,0.0,0.086,0.0
v1,topic_relevant,2,2.0,12,0.0,0.086,0.0
v1,topic_relevant,2,2.5,12,0.0,0.086,0.0
v1,topic_relevant,3,1.5,12,0.0,1.382,0.0
v1,topic_relevant,3,2.0,12,0.0,1.382,0.0
v1,topic_relevant,3,2.5,12,0.0,1.382,0.0
v1,topic_relevant,4,1.5,12,0.0,2.678,0.0
v1,topic_relevant,4,2.0,12,0.0,2.678,0.0
v1,topic_relevant,4,2.5,12,0.0,2.678,0.0
v1,topic_relevant,5,1.5,12,0.0,3.974,0.0
v1,topic_relevant,5,2.0,12,0.0,3.974,0.0
v1,topic_relevant,5,2.5,12,0.0,3.974,0.0
