tau,tp,fn,fp,tn,tpr,fpr,precision
0.0,12,0,2,3,1.0,0.4,0.8571428571428571
0.1,12,0,2,3,1.0,0.4,0.8571428571428571
0.2,12,0,2,3,1.0,0.4,0.8571428571428571
0.3,12,0,2,3,1.0,0.4,0.8571428571428571
0.4,12,0,2,3,1.0,0.4,0.8571428571428571
0.5,12,0,2,3,1.0,0.4,0.8571428571428571
0.6,12,0,2,3,1.0,0.4,0.8571428571428571
0.7,12,0,2,3,1.0,0.4,0.8571428571428571
0.8,12,0,2,3,1.0,0.4,0.8571428571428571
0.9,12,0,2,3,1.0,0.4,0.8571428571428571
1.0,12,0,2,3,1.0,0.4,0.8571428571428571
1.1,12,0,2,3,1.0,0.4,0.8571428571428571
1.2,12,0,2,3,1.0,0.4,0.8571428571428571
1.3,12,0,0,5,1.0,0.0,1.0
1.4,12,0,0,5,1.0,0.0,1.0
1.5,12,0,0,5,1.0,0.0,1.0
1.6,12,0,0,5,1.0,0.0,1.0
1.7,12,0,0,5,1.0,0.0,1.0
1.8,12,0,0,5,1.0,0.0,1.0
1.9,12,0,0,5,1.0,0.0,1.0
2.0,12,0,0,5,1.0,0.0,1.0
2.1,12,0,0,5,1.0,0.0,1.0
2.2,12,0,0,5,1.0,0.0,1.0
2.3,12,0,0,5,1.0,0.0,1.0
2.4,12,0,0,5,1.0,0.0,1.0
2.5,12,0,0,5,1.0,0.0,1.0
2.6,12,0,0,5,1.0,0.0,1.0
2.7,12,0,0,5,1.0,0.0,1.0
2.8,0,12,0,5,0.0,0.0,1.0
2.9,0,12,0,5,0.0,0.0,1.0
3.0,0,12,0,5,0.0,0.0,1.0
3.1,0,12,0,5,0.0,0.0,1.0
3.2,0,12,0,5,0.0,0.0,1.0
3.3,0,12,0,5,0.0,0.0,1.0
3.4,0,12,0,5,0.0,0.0,1.0
3.5,0,12,0,5,0.0,0.0,1.0
3.6,0,12,0,5,0.0,0.0,1.0
3.7,0,12,0,5,0.0,0.0,1.0
3.8,0,12,0,5,0.0,0.0,1.0
3.9,0,12,0,5,0.0,0.0,1.0
4.0,0,12,0,5,0.0,0.0,1.0
4.1,0,12,0,5,0.0,0.0,1.0
4.2,0,12,0,5,0.0,0.0,1.0
4.3,0,12,0,5,0.0,0.0,1.0
4.4,0,12,0,5,0.0,0.0,1.0
4.5,0,12,0,5,0.0,0.0,1.0
4.6,0,12,0,5,0.0,0.0,1.0
4.7,0,12,0,5,0.0,0.0,1.0
4.8,0,12,0,5,0.0,0.0,1.0
4.9,0,12,0,5,0.0,0.0,1.0
5.0,0,12,0,5,0.0,0.0,1.0
